Type                                  Module                      Label             Process
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "DIGI2RAW"
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "DIGI2RAW"
L1MuDTTrackContainer                  "simDttfDigis"              "DTTF"            "DIGI2RAW"
L1MuGMTReadoutCollection              "simGmtDigis"               ""                "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "DIGI2RAW"
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "DIGI2RAW"
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "DIGI2RAW"
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "DIGI2RAW"
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "DIGI2RAW"
MuonDigiCollection<GEMDetId,GEMCSCCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "DIGI2RAW"
MuonDigiCollection<GEMDetId,GEMCSCPadDigi>    "simMuonGEMCSCPadDigis"     ""                "DIGI2RAW"
MuonDigiCollection<GEMDetId,GEMCSCPadDigi>    "simMuonGEMCSCPadDigis"     "Coincidence"     "DIGI2RAW"
MuonDigiCollection<GEMDetId,GEMDigi>    "simMuonGEMDigis"           ""                "DIGI2RAW"
MuonDigiCollection<ME0DetId,ME0DigiPreReco>    "simMuonME0Digis"           ""                "DIGI2RAW"
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "DIGI2RAW"
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           ""                "DIGI2RAW"
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           ""                "DIGI2RAW"
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "DIGI2RAW"
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "DIGI2RAW"
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "DIGI2RAW"
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "DIGI2RAW"
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "DIGI2RAW"
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "DIGI2RAW"
edm::DetSetVector<StripDigiSimLink>    "simMuonGEMDigis"           "GEM"             "DIGI2RAW"
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "DIGI2RAW"
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "DIGI2RAW"
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "DIGI2RAW"
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "DIGI2RAW"
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "DIGI2RAW"
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "DIGI2RAW"
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "DIGI2RAW"
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "DIGI2RAW"
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "DIGI2RAW"
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HBHEUpgradeDigiCollection"   "DIGI2RAW"
edm::SortedCollection<HcalUpgradeDataFrame,edm::StrictWeakOrdering<HcalUpgradeDataFrame> >    "simHcalDigis"              "HFUpgradeDigiCollection"   "DIGI2RAW"
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "DIGI2RAW"
edm::TriggerResults                   "TriggerResults"            ""                "DIGI2RAW"
vector<L1CaloEmCand>                  "simRctDigis"               ""                "DIGI2RAW"
vector<L1CaloRegion>                  "simRctDigis"               ""                "DIGI2RAW"
vector<L1GctEmCand>                   "simGctDigis"               "isoEm"           "DIGI2RAW"
vector<L1GctEmCand>                   "simGctDigis"               "nonIsoEm"        "DIGI2RAW"
vector<L1GctEtHad>                    "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctEtMiss>                   "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctEtTotal>                  "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctHFBitCounts>              "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctHFRingEtSums>             "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctHtMiss>                   "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctInternEtSum>              "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctInternHtMiss>             "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctInternJetData>            "simGctDigis"               ""                "DIGI2RAW"
vector<L1GctJetCand>                  "simGctDigis"               "cenJets"         "DIGI2RAW"
vector<L1GctJetCand>                  "simGctDigis"               "forJets"         "DIGI2RAW"
vector<L1GctJetCand>                  "simGctDigis"               "tauJets"         "DIGI2RAW"
vector<L1MuGMTCand>                   "simGmtDigis"               ""                "DIGI2RAW"
vector<L1MuRegionalCand>              "simCsctfDigis"             "CSC"             "DIGI2RAW"
vector<L1MuRegionalCand>              "simDttfDigis"              "DT"              "DIGI2RAW"
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCb"            "DIGI2RAW"
vector<L1MuRegionalCand>              "simRpcTriggerDigis"        "RPCf"            "DIGI2RAW"
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "DIGI2RAW"
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCb"            "DIGI2RAW"
vector<RPCDigiL1Link>                 "simRpcTriggerDigis"        "RPCf"            "DIGI2RAW"
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "DIGI2RAW"
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "DIGI2RAW"
vector<pair<csc::L1Track,MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi> > >    "simCsctfTrackDigis"        ""                "DIGI2RAW"
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"
CrossingFramePlaybackInfoExtended     "mix"                       ""                "RECO"
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RECO"
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RECO"
EcalTrigPrimCompactColl               "ecalCompactTrigPrim"       ""                "RECO"
HcalUnpackerReport                    "castorDigis"               ""                "RECO"
L1GlobalTriggerEvmReadoutRecord       "gtEvmDigis"                ""                "RECO"
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "RECO"
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"
L1MuDTChambPhContainer                "dttfDigis"                 ""                "RECO"
L1MuDTChambThContainer                "dttfDigis"                 ""                "RECO"
L1MuDTTrackContainer                  "dttfDigis"                 "DATA"            "RECO"
